% Power coefficient vs TSR vs Pitch angle map for the NREL 5 MW 
% source https://forums.nrel.gov/t/nrel-5-mw-reference-turbine-cp-cq-ct-coefficients/456/2
% First row: pitch angle [deg]
% First column: TSR [-] 
	-5	-4	-3	-2	-1	0	1	2	3	4	5
0.4119415851	0.0007	0.001	0.0013	0.0015	0.0018	0.0021	0.0023	0.0026	0.0028	0.0031	0.0033
0.4394043575	0.0008	0.0011	0.0014	0.0016	0.0019	0.0022	0.0025	0.0027	0.003	0.0033	0.0035
0.470790383	0.0009	0.0012	0.0015	0.0018	0.0021	0.0024	0.0027	0.003	0.0032	0.0035	0.0038
0.5070050279	0.0009	0.0013	0.0016	0.0019	0.0022	0.0026	0.0029	0.0032	0.0035	0.0038	0.0041
0.5492554469	0.001	0.0014	0.0017	0.0021	0.0024	0.0028	0.0032	0.0035	0.0038	0.0042	0.0045
0.5991877602	0.0011	0.0015	0.0019	0.0023	0.0027	0.0031	0.0035	0.0039	0.0042	0.0046	0.005
0.6591065362	0.0012	0.0017	0.0021	0.0026	0.003	0.0034	0.0039	0.0043	0.0047	0.0051	0.0056
0.7323405958	0.0014	0.0019	0.0024	0.0029	0.0034	0.0039	0.0044	0.0049	0.0053	0.0058	0.0063
0.8238831703	0.0016	0.0022	0.0028	0.0033	0.0039	0.0045	0.0051	0.0056	0.0062	0.0067	0.0072
0.878808715	0.0017	0.0023	0.003	0.0036	0.0042	0.0049	0.0055	0.0061	0.0067	0.0073	0.0078
0.9415807661	0.0018	0.0025	0.0032	0.0039	0.0046	0.0053	0.006	0.0066	0.0073	0.0079	0.0085
1.014010056	0.002	0.0028	0.0035	0.0043	0.0051	0.0058	0.0066	0.0073	0.008	0.0087	0.0094
1.098510894	0.0022	0.0031	0.0039	0.0048	0.0056	0.0065	0.0073	0.0081	0.0089	0.0097	0.0104
1.19837552	0.0024	0.0034	0.0044	0.0054	0.0063	0.0073	0.0082	0.0091	0.01	0.0109	0.0118
1.235824755	0.0025	0.0035	0.0046	0.0056	0.0066	0.0076	0.0086	0.0095	0.0105	0.0114	0.0124
1.318213072	0.0027	0.0038	0.005	0.0061	0.0072	0.0083	0.0094	0.0105	0.0116	0.0127	0.0138
1.412371149	0.0029	0.0042	0.0055	0.0067	0.008	0.0092	0.0105	0.0118	0.0131	0.0145	0.016
1.464681192	0.003	0.0044	0.0058	0.0071	0.0085	0.0098	0.0112	0.0127	0.0142	0.0158	0.0175
1.521015084	0.0032	0.0046	0.0061	0.0076	0.009	0.0106	0.0121	0.0138	0.0156	0.0174	0.0194
1.647766341	0.0035	0.0052	0.007	0.0088	0.0107	0.0127	0.0149	0.0171	0.0194	0.0219	0.0245
1.75761743	0.0039	0.006	0.0082	0.0104	0.0129	0.0154	0.0181	0.0209	0.0238	0.0268	0.03
1.797563281	0.0041	0.0064	0.0087	0.0112	0.0138	0.0166	0.0194	0.0225	0.0256	0.0289	0.0323
1.883161532	0.0048	0.0074	0.0102	0.0131	0.0162	0.0194	0.0228	0.0263	0.0299	0.0338	0.0378
1.977319609	0.0058	0.0089	0.0122	0.0157	0.0194	0.0231	0.0271	0.0312	0.0355	0.04	0.0446
2.028020111	0.0065	0.0099	0.0135	0.0173	0.0213	0.0254	0.0297	0.0341	0.0389	0.0437	0.0485
2.059707926	0.007	0.0106	0.0144	0.0185	0.0226	0.0269	0.0314	0.0361	0.0411	0.0461	0.0511
2.197021787	0.0098	0.0143	0.0191	0.024	0.0291	0.0344	0.0401	0.0459	0.0517	0.0574	0.0628
2.353951915	0.0142	0.0199	0.0257	0.0319	0.0384	0.0452	0.052	0.0588	0.0653	0.0714	0.0771
2.396751041	0.0156	0.0216	0.0278	0.0344	0.0413	0.0485	0.0556	0.0626	0.0692	0.0753	0.0811
2.471649511	0.0183	0.025	0.0319	0.0392	0.0469	0.0546	0.0622	0.0694	0.0761	0.0825	0.0883
2.535025139	0.0209	0.0281	0.0357	0.0437	0.0519	0.0601	0.0679	0.0753	0.0822	0.0886	0.0945
2.636426145	0.0256	0.0338	0.0426	0.0516	0.0606	0.0693	0.0774	0.0851	0.0921	0.0986	0.1047
2.746277234	0.0314	0.041	0.051	0.0609	0.0706	0.0797	0.0881	0.096	0.1031	0.1098	0.1161
2.824742298	0.0363	0.0468	0.0575	0.068	0.078	0.0874	0.096	0.1039	0.1112	0.118	0.1245
2.883591096	0.0402	0.0514	0.0627	0.0736	0.0838	0.0932	0.102	0.1099	0.1173	0.1244	0.1309
2.929362383	0.0435	0.0552	0.0668	0.0779	0.0883	0.0979	0.1066	0.1147	0.1222	0.1294	0.136
2.995938801	0.0486	0.061	0.073	0.0844	0.095	0.1047	0.1135	0.1217	0.1294	0.1367	0.1435
3.042030167	0.0522	0.0651	0.0774	0.089	0.0997	0.1094	0.1183	0.1266	0.1345	0.142	0.1487
3.075830502	0.0551	0.0682	0.0807	0.0924	0.1031	0.1129	0.1219	0.1303	0.1383	0.1458	0.1526
3.295532681	0.0747	0.0893	0.1027	0.1149	0.1259	0.1361	0.1459	0.1552	0.1638	0.1715	0.178
3.51523486	0.0961	0.1115	0.1253	0.1377	0.1495	0.1608	0.1716	0.1815	0.1904	0.1979	0.2029
3.549035195	0.0994	0.1149	0.1287	0.1413	0.1532	0.1648	0.1756	0.1856	0.1946	0.202	0.2065
3.595126561	0.1041	0.1197	0.1335	0.1462	0.1584	0.1702	0.1812	0.1913	0.2004	0.2075	0.2114
3.661702979	0.1108	0.1264	0.1403	0.1534	0.1661	0.1782	0.1894	0.1997	0.2088	0.2153	0.21715
3.707474266	0.1155	0.1311	0.1451	0.1585	0.1714	0.1837	0.1951	0.2055	0.2145	0.2206	0.2229
3.766323064	0.1214	0.137	0.1513	0.1651	0.1784	0.1909	0.2025	0.2131	0.2219	0.2272	0.229
3.844788128	0.1292	0.1449	0.1597	0.1741	0.1878	0.2006	0.21475	0.2234	0.2317	0.2358	0.2372
3.954639217	0.14	0.1561	0.1718	0.1869	0.2012	0.2146	0.227	0.2378	0.2448	0.2477	0.2492
4.056040223	0.1499	0.1668	0.1833	0.199	0.2139	0.2278	0.2407	0.251	0.2566	0.2591	0.2606
4.119415851	0.1562	0.1737	0.1907	0.2067	0.222	0.2363	0.2494	0.259	0.2638	0.2665	0.2679
4.194314322	0.1637	0.1819	0.1993	0.2159	0.2317	0.2466	0.2596	0.26635	0.2726	0.2753	0.2763
4.237113447	0.1681	0.1867	0.2044	0.2213	0.2374	0.2525	0.2654	0.2737	0.2778	0.2804	0.2809
4.394043575	0.1846	0.2043	0.2232	0.2415	0.2588	0.2747	0.2867	0.2931	0.2972	0.299	0.2958
4.531357437	0.1993	0.22	0.2404	0.26	0.2784	0.2944	0.3048	0.3108	0.3145	0.313	0.30295
4.563045251	0.2027	0.2238	0.2445	0.2643	0.283	0.299	0.3089	0.315	0.3183	0.316	0.3101
4.613745754	0.2082	0.2298	0.2511	0.2713	0.2938	0.3063	0.3156	0.3218	0.324	0.3207	0.314
4.70790383	0.2184	0.2413	0.2636	0.2848	0.3046	0.3196	0.3284	0.334	0.3338	0.329	0.3202
4.793502082	0.2279	0.252	0.2752	0.2974	0.3175	0.3316	0.3403	0.3444	0.342	0.3358	0.3253
4.833447932	0.2325	0.2571	0.2807	0.3034	0.3236	0.3372	0.3458	0.349	0.3457	0.3386	0.3275
4.943299022	0.2453	0.2714	0.2963	0.3203	0.3403	0.353	0.3603	0.3603	0.3553	0.3458	0.3331
5.070050279	0.2607	0.2884	0.3152	0.3403	0.3593	0.3709	0.3751	0.3722	0.3643	0.3534	0.3389
5.126384171	0.2678	0.2962	0.324	0.3492	0.368	0.3785	0.3809	0.3768	0.368	0.3565	0.3412
5.178694213	0.2744	0.30675	0.3322	0.3576	0.3787	0.3852	0.3861	0.3806	0.3713	0.3593	0.3433
5.27285229	0.2865	0.3173	0.3471	0.3728	0.3894	0.3962	0.3947	0.3871	0.3771	0.3642	0.3467
5.355240607	0.2975	0.3297	0.3605	0.3864	0.4005	0.4047	0.4009	0.3925	0.3818	0.3681	0.3494
5.392689842	0.3025	0.3355	0.3666	0.3922	0.4053	0.4083	0.4035	0.3948	0.384	0.3697	0.3506
5.492554469	0.3164	0.3512	0.3836	0.4071	0.4168	0.4168	0.41	0.4009	0.3895	0.3738	0.3536
5.577055307	0.3286	0.3648	0.3984	0.4184	0.4253	0.422	0.4152	0.4058	0.3939	0.377	0.3558
5.649484596	0.3393	0.3768	0.4101	0.4271	0.4315	0.4272	0.4195	0.4099	0.3975	0.3795	0.3576
5.712256647	0.3488	0.3878	0.4197	0.4339	0.4361	0.4309	0.4231	0.4134	0.4004	0.3815	0.359
5.767182192	0.3573	0.3974	0.4274	0.4392	0.4396	0.434	0.4262	0.4163	0.4027	0.3832	0.3601
5.858724767	0.3719	0.4133	0.4383	0.4464	0.4448	0.4389	0.4311	0.4211	0.4063	0.3858	0.3618
5.931958826	0.3844	0.425	0.4456	0.4509	0.4485	0.4427	0.435	0.4247	0.4089	0.3878	0.363
5.991877602	0.3948	0.4333	0.4508	0.454	0.4513	0.4456	0.438	0.4276	0.4109	0.3892	0.3638
6.041809915	0.4032	0.4395	0.454	0.4563	0.4535	0.448	0.4405	0.4299	0.4125	0.3904	0.3645
6.084060334	0.4103	0.4442	0.4563	0.4581	0.4553	0.45	0.4426	0.4317	0.4138	0.3914	0.365
6.120274979	0.4164	0.4477	0.4581	0.4595	0.4568	0.4517	0.4443	0.4331	0.4148	0.3921	0.3655
6.151661005	0.4215	0.4504	0.4594	0.4606	0.4581	0.4531	0.4458	0.4344	0.4157	0.3928	0.3658
6.591065362	0.4461	0.458	0.4667	0.471	0.4722	0.4702	0.4633	0.4476	0.4263	0.3999	0.3695
7.09807039	0.4311	0.4458	0.46	0.4731	0.4821	0.4835	0.4745	0.4577	0.4342	0.405	0.3708
7.140320809	0.4295	0.4446	0.4592	0.473	0.4826	0.4841	0.4752	0.4584	0.4348	0.4053	0.3707
7.190253123	0.4277	0.4431	0.4582	0.4727	0.4832	0.4847	0.4759	0.4591	0.4354	0.4056	0.3706
7.250171899	0.4254	0.4413	0.4571	0.4723	0.4838	0.4852	0.4767	0.4599	0.436	0.406	0.3705
7.323405958	0.4226	0.4391	0.4557	0.4719	0.4842	0.4858	0.4776	0.4609	0.4368	0.4063	0.3703
7.414948533	0.4191	0.4363	0.4539	0.4712	0.4844	0.4863	0.4786	0.4619	0.4377	0.4067	0.37
7.532646128	0.4145	0.4328	0.4517	0.4701	0.484	0.4867	0.4796	0.4632	0.4387	0.4071	0.3694
7.689576256	0.4082	0.4282	0.4487	0.4683	0.4825	0.4868	0.4806	0.4646	0.4397	0.4073	0.3683
7.789440883	0.4041	0.4253	0.4468	0.4668	0.4811	0.4865	0.481	0.4653	0.4402	0.4074	0.3674
7.909278435	0.3992	0.4218	0.4444	0.4647	0.4792	0.4859	0.4814	0.466	0.4407	0.4073	0.3662
8.055746554	0.3931	0.4174	0.4411	0.4618	0.4767	0.4848	0.4815	0.4666	0.4412	0.4069	0.3645
8.238831703	0.3853	0.4117	0.4366	0.4576	0.4731	0.4829	0.4812	0.467	0.4414	0.4062	0.3619
8.388628643	0.3787	0.4067	0.4326	0.454	0.4699	0.4809	0.4805	0.467	0.4414	0.4052	0.3596
8.474226894	0.3749	0.4038	0.4302	0.4517	0.468	0.4796	0.48	0.4668	0.4412	0.4046	0.3581
8.568384971	0.3706	0.4004	0.4274	0.4492	0.4659	0.478	0.4793	0.4666	0.441	0.4038	0.3564
8.78808715	0.36	0.3921	0.4204	0.4429	0.4606	0.4739	0.4772	0.4657	0.4401	0.4016	0.352
9.062714873	0.346	0.3806	0.4107	0.4344	0.4535	0.468	0.4736	0.464	0.4383	0.3981	0.3458
9.227491507	0.3371	0.3733	0.4044	0.4291	0.449	0.4642	0.471	0.4625	0.4368	0.3956	0.3416
9.415807661	0.3263	0.3644	0.3968	0.4226	0.4435	0.4595	0.4678	0.4604	0.4348	0.3924	0.3365
9.520427746	0.32	0.3592	0.3924	0.4189	0.4404	0.4568	0.4658	0.4591	0.4335	0.3906	0.3335
9.886598044	0.2967	0.3398	0.376	0.4052	0.4289	0.447	0.4581	0.4535	0.4281	0.3831	0.3218
10.25276834	0.2714	0.3187	0.3581	0.3903	0.4166	0.4364	0.4492	0.4465	0.4214	0.3743	0.3084
10.35738843	0.2639	0.3123	0.3528	0.3859	0.4129	0.4333	0.4465	0.4442	0.4193	0.3716	0.3043
10.54570458	0.2498	0.3005	0.3428	0.3776	0.4061	0.4274	0.4413	0.4399	0.4152	0.3663	0.2965
10.71048121	0.237	0.2898	0.3337	0.3701	0.3999	0.4221	0.4365	0.4358	0.4113	0.3614	0.2893
10.98510894	0.2149	0.2711	0.3181	0.3572	0.3892	0.4129	0.4281	0.4284	0.4043	0.3525	0.2765
11.29896919	0.1895	0.2485	0.2992	0.3417	0.3763	0.4017	0.4179	0.4192	0.3953	0.3414	0.2605
11.53436438	0.1717	0.2307	0.2844	0.3295	0.3661	0.3929	0.4097	0.4118	0.388	0.3323	0.2476
11.86391765	0.1477	0.2051	0.2627	0.3115	0.3512	0.3799	0.3977	0.4006	0.3768	0.3184	0.2279
12.08361983	0.1326	0.1885	0.2475	0.299	0.3407	0.3708	0.3894	0.3926	0.3686	0.3084	0.2137
12.24054996	0.122	0.177	0.2364	0.2897	0.333	0.3641	0.3832	0.3867	0.3624	0.301	0.2031
13.18213072	0.0662	0.1122	0.1669	0.2292	0.2823	0.3203	0.3427	0.3469	0.3199	0.2495	0.1298
14.28064162	0.0131	0.0468	0.0902	0.1495	0.2137	0.2607	0.2871	0.2903	0.2582	0.1727	0.0239
14.5003438	0.0034	0.0351	0.0756	0.1333	0.1986	0.2476	0.2746	0.2777	0.2441	0.1551	0
14.82989707	-0.0109	0.018	0.0542	0.1092	0.1751	0.2271	0.2552	0.2579	0.2218	0.1271	-0.0374
15.37915251	-0.0346	-0.01	0.0201	0.0694	0.1338	0.1907	0.2208	0.2224	0.1816	0.0766	-0.1044
15.81855687	-0.0538	-0.0322	-0.0065	0.0376	0.1002	0.1594	0.1912	0.1918	0.1464	0.0327	-0.1623
16.47766341	-0.0836	-0.0653	-0.0452	-0.0081	0.0482	0.1089	0.1433	0.142	0.0886	-0.0394	-0.2563
17.13676994	-0.1154	-0.0992	-0.0842	-0.0537	-0.005	0.0536	0.0909	0.087	0.0244	-0.119	-0.3557
17.5761743	-0.1381	-0.1226	-0.1104	-0.0845	-0.0408	0.0147	0.0534	0.0473	-0.0221	-0.1763	-0.4242
18.12542975	-0.1683	-0.153	-0.144	-0.1233	-0.086	-0.0357	0.0034	-0.0059	-0.0842	-0.253	-0.5203
18.45498301	-0.1873	-0.172	-0.1646	-0.147	-0.1134	-0.0668	-0.0284	-0.0398	-0.1235	-0.3017	-0.5813
19.77319609	-0.2698	-0.2547	-0.2532	-0.2452	-0.2261	-0.1997	-0.1696	-0.1903	-0.2985	-0.5046	-0.8473
21.42096243	-0.39	-0.3755	-0.3799	-0.3818	-0.3786	-0.379	-0.3767	-0.4132	-0.5579	-0.8175	-1.2422
21.97021787	-0.4347	-0.4205	-0.4266	-0.432	-0.4346	-0.4433	-0.4531	-0.4964	-0.6542	-0.9309	-1.3915
23.06872877	-0.5313	-0.518	-0.5276	-0.5396	-0.5539	-0.579	-0.6162	-0.6788	-0.85	-1.1788	-1.7242
24.16723966	-0.6381	-0.6257	-0.6392	-0.6585	-0.6841	-0.7269	-0.7918	-0.8824	-1.0819	-1.4697	-2.1104
26.36426145	-0.8841	-0.8743	-0.8973	-0.9319	-0.9832	-1.0642	-1.1895	-1.3443	-1.6264	-2.1537	-3.0514
28.56128324	-1.1772	-1.1713	-1.2051	-1.2564	-1.3369	-1.4665	-1.6582	-1.9132	-2.2992	-3.0409	-4.1698
30.75830502	-1.5228	-1.5207	-1.5661	-1.6378	-1.7517	-1.9375	-2.1939	-2.5888	-3.1299	-4.0973	-5.4984
